algorithm,key_size_bits,data_size_mb,avg_cpu_time_ms,avg_memory_mb,peak_memory_mb,iterations
AES-128,128,10.000031471252441,10.1601,40.1016,40.1016,100
AES-256,256,10.000031471252441,10.9405,30.0117,30.0117,100
DES,64,10.000031471252441,415.1562,30.0038,30.0117,100
3DES,192,10.000031471252441,414.5312,30.0117,30.0117,100
Blowfish,128,10.000031471252441,98.75,30.0117,30.0117,100
