algorithm,key_size_bits,cipher_creation_us,iv_size_bytes,total_enc_ms,key_schedule_overhead_percent,iterations
AES-128,128,2.907,16.0,0.8476,0.34,100
AES-256,256,2.226,16.0,1.0774,0.21,100
DES,64,2.328,8.0,21.5085,0.01,100
3DES,192,2.31,8.0,21.5126,0.01,100
Blowfish,128,2.193,8.0,5.4574,0.04,100
